protein1,protein2,weight
UPF1,SNAPC3,0.239
PSMA3,RPL32,0.239
MCUB,NDUFA13,0.239
SNRPD3,HDAC1,0.239
CASP8,API5,0.239
CDC42,CDC6,0.239
STAT1,PXN,0.239
TLR2,CDC5L,0.239
TLR2,BUD31,0.239
CDC42,MLST8,0.239
UTP15,EEF2,0.239
CNOT6L,SKIV2L,0.239
MAPK1,CDK6,0.239
TLR2,LUM,0.239
RPS16,SF3B3,0.239
SETD1A,HSP90AB1,0.239
RPS16,PALB2,0.239
UTP15,ATAD5,0.239
IGF2,ILK,0.239
COX7C,PSMB1,0.239
EFTUD2,RAD21,0.239
MT1E,ERBB2,0.239
INO80,UTP20,0.239
PSMB2,SRP54,0.239
IRAK4,TNFRSF1B,0.239
PSMB2,PIH1D1,0.239
DSC2,CACNA2D1,0.239
EFTUD2,KRR1,0.239
TMEM258,POLR2F,0.239
MUS81,PPIE,0.239
MAPK1,IRF7,0.239
ERBB2,MT1E,0.239
PSMB10,FAU,0.239
IKBKG,SMAD2,0.239
CYB5R3,TOMM70,0.239
CALML3,MLST8,0.239
TLR3,BUD31,0.239
CALML3,ITSN1,0.239
TLR3,CDC5L,0.239
IKBKG,RPS6KB1,0.239
MAPK1,CDH5,0.239
FANCI,CCNE1,0.238
TOMM6,COX6A1,0.238
WDR33,RPF2,0.238
TOMM6,NDUFB9,0.238
CYB5R3,TLN1,0.238
MAPK1,GLI1,0.238
CYB5R3,LMNA,0.238
ERBB2,SETD1A,0.238
RAD52,INIP,0.238
WDR33,HEATR1,0.238
MAPK1,EPAS1,0.238
TLR3,PRPF19,0.238
TMEM258,SRPRB,0.238
IKBKG,GNA12,0.238
TMEM258,PSMB5,0.238
JAG2,ZYX,0.238
EFTUD2,UCHL5,0.238
RAD52,EZH2,0.238
PSMB2,GPI,0.238
INO80,HDAC1,0.238
PSMB2,RANBP2,0.238
PSMB2,RPS12,0.238
IKBKG,SHC1,0.238
SETD1A,CDKN1A,0.238
COX7C,TOMM20,0.238
TLN2,ARPC1B,0.238
COX7C,POMP,0.238
UTP15,POLR2C,0.238
TLR2,HDAC2,0.238
COX7C,CYB5B,0.238
RPS16,AP2A2,0.238
UQCRQ,RPS3,0.238
CPSF2,POLR3A,0.238
TLR2,BMP2,0.238
UQCRQ,POLR2I,0.238
UQCRQ,RPL4,0.238
TLR2,PRPF19,0.238
CDC42,HSPD1,0.238
SETD1A,IFNG,0.238
CDC42,SMG1,0.238
NDUFB1,POLR2L,0.238
SETD1A,ERBB2,0.238
CALML3,CARD11,0.238
NPRL3,PRR5,0.238
CALML3,MALT1,0.238
STAT1,CUL3,0.238
CDC42,PDS5B,0.238
CASP8,DUOX1,0.238
IL3,CALML4,0.238
TNFRSF18,IRAK1,0.238
PGK1,KAT2B,0.238
DERL2,DAD1,0.238
PGK1,PSMD2,0.238
MT-CO1,RPL6,0.238
FASLG,IFNA16,0.238
PSMA3,MRPS10,0.238
GABARAPL1,KAT5,0.238
DDX23,DCAF13,0.238
EDC3,MTREX,0.238
MT-CO1,CALM3,0.238
MT-CO1,GART,0.238
GABARAPL1,MYD88,0.238
BMP2,TLR2,0.238
TADA1,H3-2,0.238
RAD17,POT1,0.238
TADA1,H3-4,0.238
TADA1,H3-5,0.238
PYCARD,H3C12,0.238
PRR5L,ITGAE,0.238
RICTOR,XIAP,0.238
PYCARD,CARD10,0.238
PSMA7,CDK1,0.238
SUPT5H,CNOT4,0.238
COX6A1,TOMM6,0.238
COX6A1,TOMM20,0.238
MRPS15,TOMM22,0.238
DLG4,PTK2,0.238
TLR8,PRPF19,0.238
EZH2,RAD23B,0.238
HSPA4,SELP,0.238
MRPS15,POLR2H,0.238
TRIM33,NLGN3,0.238
ANAPC4,CUL1,0.238
YEATS4,SNRPF,0.238
LAMTOR3,VPS29,0.238
PRPF19,TLR8,0.238
SF3A1,NUP93,0.238
YEATS4,NFKBIE,0.238
EZH2,RAD52,0.238
PRPF19,TLR5,0.238
TTI1,TAF5L,0.238
PRPF19,TLR4,0.238
RAD51C,EIF2S1,0.238
PRPF19,TLR3,0.238
PSMB3,EIF2B1,0.238
SF3A1,KMT2A,0.238
PSMB3,SRP54,0.238
RPS9,PPIL1,0.238
ARNT,CUL3,0.238
PSMB3,RPL31,0.238
RPS9,H3-2,0.238
PSMB3,INTS8,0.238
CCNE1,FANCI,0.238
CLOCK,CUL4B,0.238
RIPK1,CDK2,0.238
CCAR2,ZC3H13,0.238
PSMB3,FAS,0.238
RPL6,MT-CO1,0.238
CCNE1,ERCC2,0.238
B2M,CCNB2,0.238
IL3RA,SELPLG,0.238
GCSH,PWP2,0.238
MTOR,KMT2A,0.238
EPHA2,RAB5A,0.238
B2M,ERCC4,0.238
CD22,IL22RA1,0.238
RPS9,MDM2,0.238
LDLR,PIH1D1,0.238
PRPF19,TLR2,0.238
EMG1,RPL14,0.238
PRKAB2,MDM2,0.238
CD22,CASP3,0.238
PSMC2,SNRPA,0.238
PCNA,BABAM1,0.238
CCAR2,MTREX,0.238
RNF8,RAD21,0.238
RNF8,CDC20,0.238
ACTR2,SMG1,0.238
PCNA,AAR2,0.238
CCAR2,XAB2,0.238
PRPF19,TLR7,0.238
ACTR2,SNX1,0.238
RBM15,CCNA2,0.238
NDUFS4,PSMC1,0.238
RBM15,G3BP1,0.238
MCU,NDUFS6,0.238
MAPK7,JAK2,0.238
IL17A,KIR2DL1,0.238
XPOT,UTP20,0.238
SNRPB2,UTP3,0.238
IL17A,PSMB9,0.238
KDM6A,GART,0.238
SNRPB2,RPSA,0.238
CDH5,JAK2,0.238
SNRPB2,RPS20,0.238
SNRPB2,ACTL6A,0.238
SNRPB2,NOP56,0.238
KDM6A,CCND3,0.238
WDR5,BYSL,0.238
GRPEL1,RPL10,0.238
DCAF1,TAF1,0.238
NUP93,SF3A1,0.238
NUDT21,PSMA4,0.238
CNGA2,OR51B4,0.238
P4HB,SHC1,0.238
MALT1,CALML6,0.238
MALT1,MDM2,0.238
MALT1,CALML3,0.238
MALT1,CALML5,0.238
UBN1,IL6ST,0.238
RPS18,GABARAP,0.238
NUDT21,CDC73,0.238
FANCA,H3-5,0.238
OTUB1,PSMD11,0.238
SRRT,AXIN1,0.238
P4HB,STIP1,0.238
WDR5,SF3B4,0.238
RPL13A,CDK4,0.238
RPS19,H3C12,0.238
SF3A3,WDR3,0.238
SLC3A2,HADHB,0.238
IZUMO1,AFF1,0.238
HDAC1,INO80,0.238
RPS23,POLR1D,0.238
FGFR1,BARD1,0.238
XRN1,RBM7,0.238
PSMA2,NDUFB8,0.238
RPS19,XPO1,0.238
PSMA2,DDOST,0.238
PDCD11,CDC20,0.238
FGFR1,CDK2,0.238
RUNX1,CCL5,0.238
SF3B3,PDS5A,0.238
PDCD11,RFC3,0.238
BCL10,MDM2,0.238
SF3B3,G3BP1,0.238
CREBBP,CACNA1C,0.238
RSL24D1,PAN2,0.238
KDM1A,CUL1,0.238
UTP11,POLR2I,0.238
SF3B3,USP10,0.238
CREBBP,ERCC2,0.238
EIF2S1,RAD51C,0.238
FANCE,NDUFAB1,0.238
DNA2,CENPK,0.238
RPL28,NIFK,0.238
BCL2,APOA1,0.238
SRC,CD200R1,0.238
SNRPG,BOP1,0.238
BCL2,MAP3K3,0.238
CCND3,KDM6A,0.238
CASP3,SELPLG,0.238
AP2A2,RPS16,0.238
RSPO1,H3-4,0.238
UTP18,NUP85,0.238
PTCD3,TOMM20,0.238
ERCC2,CCNE1,0.238
CNOT3,RPL36A,0.238
CASP3,NFKBIE,0.238
HSPA9,BMS1,0.238
CASP3,CD22,0.238
CASP3,ACTR3,0.238
SRC,MAPKAP1,0.238
AXIN1,SRRT,0.238
ERCC2,CREBBP,0.238
WNT1,FLT1,0.238
SNX5,EXOC6,0.238
RPL35,NDUFA1,0.238
UBE2V2,H3-3B,0.238
UBE2V2,RPL7,0.238
IL22RA1,CD22,0.238
CD200R1,TLR5,0.238
SNRPB,CDC20,0.238
CD200R1,SRC,0.238
SNX2,VPS41,0.238
SNRPB,RUVBL2,0.238
AGO2,RCOR1,0.238
EXOC4,VPS28,0.238
CHTF18,RB1,0.238
AGO2,SNRPN,0.238
PSMD7,CYB5A,0.238
ELOB,NDUFB8,0.238
ELOB,EIF3E,0.238
ELOB,RPL19,0.238
RPL7,POLR3G,0.238
TLR9,CWC15,0.238
RPL7,UBE2V2,0.238
NANOG,KMT2C,0.238
LSM6,NDUFB3,0.238
BCAS2,PSMD3,0.238
PSMA5,MRPS9,0.238
POLR1D,RPS23,0.238
SNRPD1,GABARAPL2,0.238
RPL19,ELOB,0.238
UCHL5,EFTUD2,0.238
REL,APP,0.238
SNRPD1,RBBP7,0.238
ARHGEF12,MYC,0.238
RPS4X,PPP2R1A,0.238
ARHGEF12,PARD3,0.238
NUP85,UTP18,0.238
SMG1,ACTR2,0.238
SHH,SNAP25,0.238
PSMA8,LSM8,0.238
RFC2,VPS72,0.238
MYD88,GABARAPL1,0.238
CSF1,RIPK3,0.238
CDC73,NUDT21,0.238
DSN1,PALB2,0.238
EFNA5,NRXN2,0.238
EGF,PARD3,0.238
XAB2,CCAR2,0.238
LTB,CXCL11,0.238
SMG1,CDC42,0.238
MTHFD1,WDR12,0.238
MRPS14,TAF9,0.238
RPL36A,CNOT3,0.238
MTHFD1,SNRNP70,0.238
NDUFB8,PSMA2,0.238
ARPC1B,TLN2,0.238
PCGF6,NSL1,0.238
PCGF6,DMAP1,0.238
ARPC1B,AHR,0.238
PPIL1,FKBP1B,0.238
PIH1D1,LDLR,0.238
SMC3,RNF168,0.238
TSEN54,BYSL,0.238
RPS21,YJU2,0.238
TOMM22,MRPS15,0.238
NLGN3,TRIM33,0.238
EXOC6,SNX5,0.238
EXOC6,XRCC3,0.238
PPIL1,RPS9,0.238
PIH1D1,ACTB,0.238
PIH1D1,CDC5L,0.238
SF3B4,WDR5,0.238
RHOT1,ARHGEF1,0.238
BMP4,CALML6,0.238
POLR3B,RFC3,0.238
NDUFAB1,POLR3A,0.238
NDUFB8,ELOB,0.238
VPS28,EXOC4,0.238
KCNE3,MYL2,0.238
NUP54,RPS7,0.238
NUP54,UBE2N,0.238
H3-5,ZWILCH,0.238
APOA1,BCL2,0.238
NDUFAB1,FANCE,0.238
RPF2,WDR33,0.238
APOA1,IGFALS,0.238
TPI1,RPS24,0.238
VPS29,LAMTOR3,0.238
TPI1,NDUFS6,0.238
LSM8,PSMA8,0.238
H3-5,FANCA,0.238
MRPS10,PSMA3,0.238
IMP4,RPL36,0.238
APOB,SST,0.238
UQCR11,RPL38,0.238
RABEP1,VPS11,0.238
POLR2C,DHX16,0.238
NDUFB6,RPL17,0.238
MRPS10,LSM2,0.238
RCOR1,AGO2,0.238
H3-5,XRCC3,0.238
NOC4L,POLR2B,0.238
RPL3,DDB1,0.238
H3-5,TADA1,0.238
G3BP1,RBM15,0.238
FAS,CSF2RB,0.238
SNU13,PSMB5,0.238
FAS,KDR,0.238
POLR2C,HSP90AA1,0.238
NDUFA8,DLD,0.238
ARHGEF11,ITSN1,0.238
FAS,PSMB3,0.238
RPL10,GRPEL1,0.238
CNOT4,SUPT5H,0.238
IRF7,PIP5K1C,0.238
FAS,INTS2,0.238
NDUFA8,BLOC1S2,0.238
POLR3G,RPL7,0.238
MYC,FAU,0.238
POLR2C,UTP15,0.238
TBL3,CDC20,0.238
YJU2,RPS21,0.238
RPL27A,RNPS1,0.238
G3BP1,SF3B3,0.238
PHKA2,GRIN2B,0.238
BARD1,FGFR1,0.238
H3-5,ERBB4,0.238
EZH1,EIF2S3,0.238
H3-5,MAP3K7,0.238
G3BP1,MTREX,0.238
XIAP,RICTOR,0.238
RPSA,SNRPB2,0.238
POLR3B,TAF5L,0.238
STAT2,CDK6,0.238
CSF2RB,FAS,0.238
MYC,ARHGEF12,0.238
MYC,TAF1B,0.238
SUPT7L,EIF2B1,0.238
EIF3E,ELOB,0.238
SF3B2,DDB1,0.238
ERCC4,B2M,0.238
METTL14,CDK1,0.238
TAPBP,RPS14,0.238
HADHB,SLC3A2,0.238
MYC,LY96,0.238
NDUFS8,DAP3,0.238
SF3B2,RPS14,0.238
CUL4B,CLOCK,0.238
FIP1L1,SRRM1,0.238
STIP1,AAR2,0.238
SF3B2,PSMD1,0.238
CDKN3,CENPO,0.238
PDS5A,SF3B3,0.238
RPS20,SNRPB2,0.238
PSMA4,NUDT21,0.238
TAF12,RANBP2,0.238
LMNA,CYB5R3,0.238
PSMA4,DCAF13,0.238
LMNA,NOTCH1,0.238
NSA2,EIF2B2,0.238
LMNA,EP300,0.238
PSMC3,FBL,0.238
RFC3,PDCD11,0.238
NOTCH1,LMNA,0.238
RFC3,POLR3B,0.238
PSMA4,COX6B1,0.238
KLHL12,BTRC,0.238
NOTCH1,E2F5,0.238
PSMC3,GAPDHS,0.238
KMT2C,NANOG,0.238
KIR2DL1,IL17A,0.238
PSMC3,BLOC1S6,0.238
COX6C,RBX1,0.238
WDR12,MTHFD1,0.238
RBBP7,PDS5B,0.238
NOTCH1,SALL4,0.238
RBBP7,SNRPD1,0.238
STIP1,P4HB,0.238
SYNE1,PSMD11,0.238
FLT1,WNT1,0.238
PIGP,CPSF4,0.238
PSMC3,EIF3H,0.238
UTP3,SNRPB2,0.238
TLR5,CD200R1,0.238
NDUFA11,SNRPF,0.238
NOTCH1,CCRL2,0.238
TLR5,PRPF19,0.238
ADRM1,RBX1,0.238
CDKN1C,DTL,0.238
RPL23A,NDUFB7,0.238
EIF3H,PSMC3,0.238
RHEB,CCND2,0.238
EIF3H,EGFR,0.238
RPL23A,CDC20,0.238
RAD21,RNF8,0.238
NUP188,FBL,0.238
RELA,SKP2,0.238
CALR,SDC1,0.238
AAR2,PCNA,0.238
CALR,NOS1,0.238
AAR2,STIP1,0.238
NDUFB7,RPL23A,0.238
RPS12,PSMB2,0.238
CENPW,TSEN15,0.238
COX6B1,PSMA4,0.238
H3-3B,RPS24,0.238
COX6B1,RPL26,0.238
LAMTOR1,GABARAP,0.238
UQCR10,TAF1C,0.238
RPS27A,MAP3K3,0.238
TAF1A,RFC4,0.238
POLR2J,HCFC1,0.238
VPS11,RABEP1,0.238
KCNE2,GATA4,0.238
EMC4,RPLP0,0.238
DAP3,NDUFS8,0.238
H3-3B,UBE2V2,0.238
IFNA2,CCRL2,0.238
VPS41,SNX2,0.238
BOP1,SNRPG,0.238
IFNA16,FASLG,0.238
RAN,RNPS1,0.238
RNF168,SMC3,0.238
NDUFV3,HADHA,0.238
VPS41,EXOC1,0.238
OR51B4,CNGA2,0.238
TLR4,PRPF19,0.238
SEC13,H3C12,0.238
INTS8,PSMB3,0.238
GABARAPL2,SNRPD1,0.238
SNRPC,PSMA1,0.238
HDAC2,NUP155,0.238
HDAC2,TLR2,0.238
HSPD1,HMGCS1,0.238
PSMD1,SF3B2,0.238
XRCC3,EXOC6,0.238
DDX6,BYSL,0.238
EEF2,GABARAP,0.238
XRCC3,H3-2,0.238
TLN1,CYB5R3,0.238
BACE1,NRXN2,0.238
ITGAE,PRR5L,0.238
SELPLG,IL3RA,0.238
UTP4,RPS3,0.238
RPS3,UQCRQ,0.238
RPS3,UTP4,0.238
HSPD1,NDUFA2,0.238
HSPD1,CDC42,0.238
SELPLG,CASP3,0.238
XRCC3,H3-5,0.238
RPN2,TONSL,0.238
CDC20,TBL3,0.238
FANCM,KAT5,0.238
CDC20,PDCD11,0.238
SNRNP70,MTHFD1,0.238
CDC20,NAT10,0.238
SNRNP70,CTNNB1,0.238
H3-3B,MAP3K7,0.238
CDC20,SNRPB,0.238
CCNA2,RBM15,0.238
CNOT1,EP300,0.238
CDC20,RPL23A,0.238
CDC20,RNF8,0.238
CALML5,MALT1,0.238
INTS14,SKP1,0.238
KRR1,RPL14,0.238
PIP5K1C,IRF7,0.238
MPHOSPH10,USP14,0.238
CARD10,PYCARD,0.238
INTS2,FAS,0.238
IL6R,LTBR,0.238
NOS3,NOTCH3,0.238
RFC4,TAF1A,0.238
VPS72,KAT2B,0.238
VPS72,TOMM20,0.238
VPS72,RFC2,0.238
EED,DR1,0.238
PXN,PARD3,0.238
PRPF31,ACTB,0.238
PRPF31,NIFK,0.238
PXN,ARHGEF1,0.238
SNX3,RABGEF1,0.238
CPSF4,PIGP,0.238
MAP3K3,RPS27A,0.238
CPSF1,INTS12,0.238
DAD1,DERL2,0.238
DAD1,PIGA,0.238
POLR3A,NDUFAB1,0.238
POLR3A,CPSF2,0.238
AKAP9,AFF4,0.238
TAF1C,UQCR10,0.238
MAP3K3,BCL2,0.238
CARD11,CALML3,0.238
BCKDHB,NDUFS6,0.238
VPS16,EXOC2,0.238
KDR,FAS,0.238
RB1,CHTF18,0.238
PIGA,DAD1,0.238
NOP58,SNRPD2,0.238
RAB5A,EPHA2,0.238
AFF4,AKAP9,0.238
AFF4,KAT5,0.238
RUVBL2,SNRPB,0.238
UMPS,SNRNP200,0.238
POLR2L,NDUFB1,0.238
POLR2L,RBM8A,0.238
RPL18,POLR2E,0.238
RPS24,H3-3B,0.238
RPS24,TPI1,0.238
CCND2,RHEB,0.238
POLR2G,PSMB5,0.238
NIFK,PRPF31,0.238
RUVBL1,CDK2,0.238
POLR2L,RNPS1,0.238
CALML4,IL3,0.238
ERBB3,ACTC1,0.238
NFKBIA,CUL4A,0.238
CALML4,PECAM1,0.238
RUVBL1,NIP7,0.238
BYSL,WDR5,0.238
UMPS,PSMD12,0.238
NFKBIA,GLI1,0.238
GAPDH,COX7A2,0.238
GAPDH,PDCD10,0.238
NIFK,RPL28,0.238
DDB1,SF3B2,0.238
BTF3,CNOT6,0.238
PRR5,NPRL3,0.238
DMAP1,PCGF6,0.238
CDKN1A,SETD1A,0.238
PSMA1,SNRPC,0.238
DCAF13,DDX23,0.238
DCAF13,PSMA4,0.238
CDK2,RIPK1,0.238
DDB1,RPL3,0.238
ACTC1,ERBB3,0.238
CDK2,FGFR1,0.238
BYSL,DDX6,0.238
BYSL,TSEN54,0.238
INIP,RAD52,0.238
ZWILCH,H3-4,0.238
ZWILCH,H3-2,0.238
ZWILCH,H3C12,0.238
ZWILCH,H3-5,0.238
TBP,CUL1,0.238
PSMC1,NDUFS4,0.238
CDK2,RUVBL1,0.238
DHX16,POLR2C,0.238
RIPK3,CSF1,0.238
CDK2,CENPT,0.238
HADHA,NDUFV3,0.238
TLR7,PRPF19,0.238
DTL,CDKN1C,0.238
XPO1,ZYX,0.238
KAT5,FANCM,0.238
UBE2N,NUP54,0.238
NSL1,PCGF6,0.238
SNRPD2,NOP58,0.238
SNRPD2,MRPS11,0.238
XPO1,RPS19,0.238
FAU,MYC,0.238
KAT5,AFF4,0.238
KAT5,GABARAPL1,0.238
ACTR3,HIF1A,0.238
CENPT,CDK2,0.238
XPO1,IRAK1,0.238
ACTR3,CASP3,0.238
ACTL6A,HSPA8,0.238
POLR2E,RPL18,0.238
SNRPF,NDUFA11,0.238
AFF1,IZUMO1,0.238
SNRPF,YEATS4,0.238
SMN1,APOE,0.238
IFNG,SETD1A,0.238
ACTL6A,SNRPB2,0.238
SNRPA,H3C13,0.238
IRAK1,XPO1,0.238
SNRPA,PSMC2,0.238
ACTL6A,TAF6,0.238
H3C13,ERBB4,0.238
H3C13,MAP3K7,0.238
RPL4,UQCRQ,0.238
IRAK1,TNFRSF18,0.238
CTR9,GLDC,0.238
GPI,SETD1B,0.238
MRPS9,PSMA5,0.238
ERBB4,H3-5,0.238
ERBB4,H3C13,0.238
EP300,LMNA,0.238
ERBB4,H3-4,0.238
ERBB4,H3-2,0.238
SRP54,PSMB3,0.238
TAF9,MRPS14,0.238
NIP7,RUVBL1,0.238
GPI,PSMB2,0.238
EP300,NAT10,0.238
EP300,SF3A2,0.238
SF3A2,EP300,0.238
CENPK,DNA2,0.238
TERF2,MDM2,0.238
EP300,CNOT1,0.238
H3C13,NOTCH4,0.238
RANBP2,CYB5A,0.238
RANBP2,TAF12,0.238
RABGEF1,SNX3,0.238
RANBP2,PSMB2,0.238
CENPO,CDC6,0.238
CENPO,CDKN3,0.238
FN1,CACNA1C,0.238
COX5B,RPL37A,0.238
POMP,NDUFB3,0.238
POMP,COX7C,0.238
NACA,PPP2R1A,0.238
CUL1,KDM1A,0.238
RAD23B,EZH2,0.238
H3C13,SNRPA,0.238
E2F5,NOTCH1,0.238
COX5B,AP2B1,0.238
COX5B,LSM7,0.238
PSMD12,UMPS,0.238
EIF3CL,PSMB5,0.238
HLA-A,IL12B,0.238
RNPS1,RAN,0.238
RNPS1,RPL27A,0.238
CUL1,TBP,0.238
DUOX1,TRAF6,0.238
DUOX1,CASP8,0.238
SST,APOB,0.238
CTNNB1,SNRNP70,0.238
CUL1,ANAPC4,0.238
CYB5B,COX7C,0.238
RNPS1,POLR2L,0.238
MAP3K7,H3-3B,0.238
MAP3K7,H3-2,0.238
FKBP1B,NOP56,0.238
FKBP1B,PPIL1,0.238
MAP3K7,H3C13,0.238
MAP3K7,H3C12,0.238
HCFC1,POLR2J,0.238
SNX1,ACTR2,0.238
ZC3H13,CCAR2,0.238
CDK1,PSMA7,0.238
CDK1,METTL14,0.238
APAF1,RPL26,0.238
MAP3K7,H3-5,0.238
PAN2,RSL24D1,0.238
SRPRB,TMEM258,0.238
MAP3K7,CDKN1B,0.238
RPS7,NUP54,0.238
SHC1,IKBKG,0.238
CNOT6,BTF3,0.238
SETD1B,GPI,0.238
SHC1,APOE,0.238
SHC1,P4HB,0.238
SIRT1,MTF2,0.238
EXOC2,VPS16,0.238
TRAF6,CDKN1B,0.238
PDCD10,GAPDH,0.238
AP2B1,COX5B,0.238
TRAF6,DUOX1,0.238
RPL37A,COX5B,0.238
CACNA1C,FN1,0.238
CCRL2,NOTCH1,0.238
BMS1,HSPA9,0.238
CCL5,RUNX1,0.238
CACNA1C,CREBBP,0.238
SDC1,CALR,0.238
CCRL2,IFNA2,0.238
SDC1,CDK4,0.238
NOS1,CALR,0.238
NDUFS6,TPI1,0.238
NDUFS6,BCKDHB,0.238
NDUFB9,TOMM6,0.238
NDUFS6,MCU,0.238
RPS2,RBM8A,0.238
RBM8A,RPS2,0.238
MYL3,CACNA1D,0.238
IL1B,RYR2,0.238
EIF2B2,PSMC6,0.238
SNAP25,SHH,0.238
RBM8A,POLR2L,0.238
NOP56,SNRPB2,0.238
EIF2B2,NSA2,0.238
STX6,TRAPPC10,0.238
NOP56,FKBP1B,0.238
PSMD2,PGK1,0.238
TAF5L,TTI1,0.238
TAF5L,POLR3B,0.238
SKP2,RELA,0.238
WDR46,NDUFS3,0.238
BLOC1S2,NDUFA8,0.238
POLR2B,NOC4L,0.238
EIF2S3,EZH1,0.238
H3-2,ZWILCH,0.238
NDUFA1,RPL35,0.238
SNRPN,AGO2,0.238
H3-2,XRCC3,0.238
FBL,PSMC3,0.238
H3-2,NOTCH4,0.238
FBL,NUP188,0.238
H3-2,TADA1,0.238
EXOC1,VPS41,0.238
PSMC6,MRPS11,0.238
EXOC1,TRAPPC10,0.238
CCNB2,B2M,0.238
NDUFS3,WDR46,0.238
PSMD3,BCAS2,0.238
MDM2,BCL10,0.238
IL6ST,UBN1,0.238
RPL14,KRR1,0.238
MDM2,TERF2,0.238
H3-2,RPS9,0.238
H3-2,MAP3K7,0.238
H3-2,ERBB4,0.238
RPL14,EMG1,0.238
HSP90AA1,POLR2C,0.238
COX7A2,GAPDH,0.238
INTS12,CPSF1,0.238
PSMC6,EIF2B2,0.238
MDM2,MALT1,0.238
ITSN1,ARHGEF11,0.238
PWP2,GCSH,0.238
NRXN2,EFNA5,0.238
GAPDHS,PSMC3,0.238
MDM2,PRKAB2,0.238
GLI1,MAPK1,0.238
ACTB,MTA1,0.238
MDM2,RPS9,0.238
TRAPPC10,STX6,0.238
TRAPPC10,EXOC1,0.238
NRXN2,BACE1,0.238
E2F2,TAF1,0.238
GLDC,CTR9,0.238
GLDC,RPAP3,0.238
GLI1,NFKBIA,0.238
POLR2I,UTP11,0.238
RPLP0,EMC4,0.238
NUP155,HDAC2,0.238
NDUFA2,HSPD1,0.238
ACTB,PRPF31,0.238
POLR2H,MRPS15,0.238
SMG5,PSMD5,0.238
SMG5,LEO1,0.238
LTBR,IL6R,0.238
RPAP3,GLDC,0.238
NOTCH3,NOS3,0.238
POLR2I,UQCRQ,0.238
CYB5A,PSMD7,0.238
CYB5A,RANBP2,0.238
KAT2B,PGK1,0.238
KAT2B,CALM3,0.238
TSEN15,CENPW,0.238
H3-4,ERBB4,0.238
ACTB,PIH1D1,0.238
RPL9,EIF2B1,0.238
MTREX,G3BP1,0.238
H3-4,TADA1,0.238
ZYX,JAG2,0.238
CUL3,STAT1,0.238
HMGCS1,HSPD1,0.238
KAT2B,VPS72,0.238
SKP1,INTS14,0.238
AHR,ARPC1B,0.238
MTREX,EDC3,0.238
H3-4,ZWILCH,0.238
H3-4,RSPO1,0.238
CACNA1D,MYL3,0.238
MTREX,CCAR2,0.238
CWC15,TLR9,0.238
LSM2,MRPS10,0.238
PECAM1,CALML4,0.238
ZYX,XPO1,0.238
RPL36,IMP4,0.238
CDC5L,PSMD11,0.238
PSMB5,TMEM258,0.238
MRPS11,SNRPD2,0.238
PARD3,PXN,0.238
DDOST,PSMA2,0.238
PARD3,EGF,0.238
PSMB5,SNU13,0.238
PARD3,ARHGEF12,0.238
PSMB5,POLR2G,0.238
PSMB5,EIF3CL,0.238
MRPS11,PSMC6,0.238
RPL31,PSMB3,0.238
CDKN1B,MAP3K7,0.238
CUL3,ARNT,0.238
USP10,SF3B3,0.238
CDC5L,PIH1D1,0.238
MAPKAP1,SRC,0.238
RBX1,ADRM1,0.238
HIF1A,MYL2,0.238
APOE,SHC1,0.238
PSMD5,SMG5,0.238
CDKN1B,TRAF6,0.238
PALB2,DSN1,0.238
DLD,NDUFA8,0.238
HIF1A,ACTR3,0.238
MTA1,ACTB,0.238
PSMB9,IL17A,0.238
APOE,SMN1,0.238
PPP2R1A,RPS4X,0.238
BABAM1,PCNA,0.238
SALL4,NOTCH1,0.238
RPS14,SF3B2,0.238
JAK2,MAPK7,0.238
RPS14,TAPBP,0.238
JAK2,CDH5,0.238
MTF2,SIRT1,0.238
NDUFB3,POMP,0.238
SRRM1,FIP1L1,0.238
GATA4,KCNE2,0.238
NDUFB3,LSM6,0.238
PSMB8,APP,0.238
RBM7,XRN1,0.238
BTRC,HSPA8,0.238
RPS13,NELFE,0.238
BTRC,KLHL12,0.238
CDK4,RPL13A,0.238
PPP2R1A,NACA,0.238
EPAS1,MAPK1,0.238
CDK4,SDC1,0.238
POT1,RAD17,0.238
CDK4,NFKBIE,0.238
CUL4A,PSMD11,0.238
CXCL11,LTB,0.238
CALML6,MALT1,0.238
CUL4A,NFKBIA,0.238
CALML6,BMP4,0.238
IL12B,HLA-A,0.238
CFLAR,PTK2,0.238
BLOC1S6,PSMC3,0.238
RBX1,COX6C,0.238
NELFE,RPS13,0.238
TAF6,ACTL6A,0.238
CDK6,STAT2,0.238
PSMD11,CDC5L,0.238
PSMD11,CUL4A,0.238
PSMD11,OTUB1,0.238
USP14,MPHOSPH10,0.238
PSMD11,SYNE1,0.238
CALM3,MT-CO1,0.238
IGFALS,APOA1,0.238
CALM3,KAT2B,0.238
LSM7,COX5B,0.238
PDS5B,RBBP7,0.238
GART,MT-CO1,0.238
NFKBIE,YEATS4,0.238
MYL2,HIF1A,0.238
PTK2,DLG4,0.238
PDS5B,CDC42,0.238
TOMM20,PTCD3,0.238
PTK2,CFLAR,0.238
NFKBIE,CDK4,0.238
GART,KDM6A,0.238
NFKBIE,CASP3,0.238
DR1,EED,0.238
TOMM20,VPS72,0.238
RPL17,NDUFB6,0.238
NOTCH4,H3-2,0.238
NOTCH4,H3C13,0.238
TOMM20,COX7C,0.238
TOMM20,COX6A1,0.238
